word,embedding
second,"[-7.62914923e-01  7.09445567e-02 -9.30622048e-02 -6.75985434e-01
 -6.04755632e-02  4.12997161e-01  4.17179131e-01  3.13812027e-02
 -1.90564671e-02 -4.59701721e-17]"
third,"[-8.80912740e-01  1.40591193e-01 -5.07946130e-02 -7.36751892e-01
 -1.50899990e-01  1.28890750e-01 -4.62606289e-01  1.47162751e-01
 -6.67443035e-05 -1.61329283e-16]"
fourth,"[-1.02997344e+00  2.13295830e-01 -1.29480761e-01 -6.35616531e-01
  4.59689092e-02 -6.04730168e-01  1.24524226e-01 -8.43989878e-02
  1.73932804e-02 -1.11022302e-16]"
fifth,"[-1.15223704e+00  2.85511926e-01  5.05764504e-02  3.47478223e-01
 -6.72589795e-03  1.80238278e-01 -1.49608140e-01 -3.32277985e-01
 -9.17388681e-02 -1.52655666e-16]"
sixth,"[-1.21459458e+00  2.58993259e-01  1.28542913e-01  6.36196877e-01
  1.06697985e-02  5.14501787e-02  1.86523449e-02  3.22948917e-02
  2.66651959e-01 -1.42247325e-16]"
seventh,"[-1.28538191e+00  2.32129687e-01  1.15184442e-01  8.03174187e-01
  8.30589773e-02 -1.19162723e-01  7.22799543e-02  2.13344344e-01
 -1.73771759e-01 -1.80411242e-16]"
blue,"[ 1.93149458e+00  5.99091625e-01 -9.09737005e-01  2.49618168e-01
 -8.46521219e-01 -4.40740019e-02  1.97584879e-02 -2.56290515e-05
 -2.72687397e-03  4.16333634e-16]"
green,"[ 1.94265965e+00  5.22555447e-01  1.58316380e+00 -8.79513383e-02
 -8.53898613e-02 -2.96828967e-02  1.22690407e-02 -4.92648686e-03
 -4.65800813e-03  5.27355937e-16]"
red,"[ 1.78959474e+00  6.26095350e-01 -6.61004873e-01  7.70560024e-03
  9.86481460e-01  4.40114347e-02 -3.99808488e-02  7.58665359e-03
  6.35013457e-03  3.26128013e-16]"
ball,"[ 6.62265659e-01 -2.94920887e+00 -3.33881455e-02  9.21321401e-02
  2.38333869e-02 -1.99380136e-02 -1.24679069e-02 -1.01407536e-02
  1.62334644e-03 -4.16333634e-16]"
